1	10	9	78258.0000000	0.0000783	29316	1
2	10	11	58070.0000000	0.0000581	16940	1
3	10	13	64662.0000000	0.0000647	-44448	1
4	10	10	56737.0000000	0.0000567	25217	1
5	20	24	128753.0000000	0.0001288	-32021	1
6	20	24	125768.0000000	0.0001258	25130	1
7	20	28	144323.0000000	0.0001443	-41693	1
8	20	26	136628.0000000	0.0001366	-37205	1
9	40	56	310818.0000000	0.0003108	-114203	1
10	40	50	286381.0000000	0.0002864	-31929	1
11	40	50	282564.0000000	0.0002826	-79570	1
12	40	52	292553.0000000	0.0002926	-79741	1
13	80	108	654626.0000000	0.0006546	-139926	1
14	80	99	602017.0000000	0.0006020	-198094	1
15	80	104	626022.0000000	0.0006260	-110571	1
16	80	114	684613.0000000	0.0006846	-233320	1
17	100	136	843293.0000000	0.0008433	-141960	1
18	100	129	796775.0000000	0.0007968	-271743	1
19	100	137	809359.0000000	0.0008094	-288906	1
20	100	132	783791.0000000	0.0007838	-229506	1
21	200	267	1694951.0000000	0.0016950	-510185	1
22	200	269	1701303.0000000	0.0017013	-515136	1
23	200	269	1702295.0000000	0.0017023	-444357	1
24	200	267	1679692.0000000	0.0016797	-393278	1
25	400	540	3800308.0000000	0.0038003	-1119906	1
26	400	518	3643201.0000000	0.0036432	-788168	1
27	400	538	3849240.0000000	0.0038492	-895704	1
28	400	526	3728442.0000000	0.0037284	-733645	1
29	800	1063	8253869.0000000	0.0082539	-1541291	1
30	800	1058	8181742.0000000	0.0081817	-1578294	1
31	800	1076	8375999.0000000	0.0083760	-1664316	1
32	800	1049	8053571.0000000	0.0080536	-1652119	1
33	1000	1300	10302448.0000000	0.0103024	-2089013	1
34	1000	1313	10357342.0000000	0.0103573	-1934208	1
35	1000	1328	10526051.0000000	0.0105261	-2229428	1
36	1000	1344	10688858.0000000	0.0106889	-2356163	1
37	2000	2699	22801575.0000000	0.0228016	-4811598	1
38	2000	2654	22537076.0000000	0.0225371	-4739387	1
39	2000	2652	22530754.0000000	0.0225308	-4717250	1
40	2000	2677	22649668.0000000	0.0226497	-4537267	1
41	4000	5360	48495242.0000000	0.0484952	-8722212	1
42	4000	5315	47795591.0000000	0.0477956	-9314968	1
43	4000	5340	47939362.0000000	0.0479394	-9845767	1
44	4000	5368	48138800.0000000	0.0481388	-8681447	1
45	8000	10705	101807212.0000000	0.1018072	-17844628	1
46	8000	10670	101441211.0000000	0.1014412	-18798446	1
47	8000	10662	100956596.0000000	0.1009566	-18741474	1
48	8000	10757	102357622.0000000	0.1023576	-18178610	1
49	10000	13301	128526637.0000000	0.1285266	-22079522	1
50	10000	13340	128297915.0000000	0.1282979	-22338561	1
51	10000	13287	128178600.0000000	0.1281786	-22581384	1
52	10000	13311	128296793.0000000	0.1282968	-22606313	1
53	20000	26667	271854489.0000000	0.2718545	-45962292	1
54	20000	26826	275143421.0000000	0.2751434	-45195405	1
55	20000	26673	271689136.0000000	0.2716891	-47854708	1
56	20000	26670	272381213.0000000	0.2723812	-46418161	1
57	40000	53415	576082541.0000000	0.5760825	-92003321	1
58	40000	53446	575664942.0000000	0.5756649	-94397064	1
59	40000	53242	573242607.0000000	0.5732426	-88771991	1
60	40000	53319	575966833.0000000	0.5759668	-93017025	1
61	80000	106914	1251922934.0000000	1.2519229	-186834082	1
62	80000	106633	1238497206.0000000	1.2384972	-185997521	1
63	80000	106586	1240078142.0000000	1.2400781	-182065015	1
64	80000	106554	1244909026.0000000	1.2449090	-180793224	1
65	100000	133395	1592495599.0000000	1.5924956	-230698391	1
66	100000	133214	1590295074.0000000	1.5902951	-230168572	1
67	100000	133524	1593428261.0000000	1.5934283	-231393935	1
68	100000	133463	1598034841.0000000	1.5980348	-231011693	1
