1	10	9	78809.0000000	0.0000788	29316	1
2	10	11	51227.0000000	0.0000512	16940	1
3	10	13	56606.0000000	0.0000566	-44448	1
4	10	10	49072.0000000	0.0000491	25217	1
5	20	24	108224.0000000	0.0001082	-32021	1
6	20	24	113134.0000000	0.0001131	25130	1
7	20	28	143672.0000000	0.0001437	-41693	1
8	20	26	123583.0000000	0.0001236	-37205	1
9	40	56	277905.0000000	0.0002779	-114203	1
10	40	50	263087.0000000	0.0002631	-31929	1
11	40	50	271322.0000000	0.0002713	-79570	1
12	40	52	258088.0000000	0.0002581	-79741	1
13	80	108	836851.0000000	0.0008369	-139926	1
14	80	99	743263.0000000	0.0007433	-198094	1
15	80	104	756529.0000000	0.0007565	-110571	1
16	80	114	975483.0000000	0.0009755	-233320	1
17	100	136	1199666.0000000	0.0011997	-141960	1
18	100	129	964030.0000000	0.0009640	-271743	1
19	100	137	965273.0000000	0.0009653	-288906	1
20	100	132	973418.0000000	0.0009734	-229506	1
21	200	267	3033078.0000000	0.0030331	-510185	1
22	200	269	3212077.0000000	0.0032121	-515136	1
23	200	269	3157754.0000000	0.0031578	-444357	1
24	200	267	3599458.0000000	0.0035995	-393278	1
25	400	540	11581474.0000000	0.0115815	-1119906	1
26	400	518	9942839.0000000	0.0099428	-788168	1
27	400	538	11242874.0000000	0.0112429	-895704	1
28	400	526	11032277.0000000	0.0110323	-733645	1
29	800	1063	39700663.0000000	0.0397007	-1541291	1
30	800	1058	39233369.0000000	0.0392334	-1578294	1
31	800	1076	38078909.0000000	0.0380789	-1664316	1
32	800	1049	43412493.0000000	0.0434125	-1652119	1
33	1000	1300	58857022.0000000	0.0588570	-2089013	1
34	1000	1313	65662126.0000000	0.0656621	-1934208	1
35	1000	1328	62296479.0000000	0.0622965	-2229428	1
36	1000	1344	63990949.0000000	0.0639909	-2356163	1
37	2000	2699	245968658.0000000	0.2459687	-4811598	1
38	2000	2654	245178957.0000000	0.2451790	-4739387	1
39	2000	2652	242332811.0000000	0.2423328	-4717250	1
40	2000	2677	254672247.0000000	0.2546722	-4537267	1
41	4000	5360	958066399.0000000	0.9580664	-8722212	1
42	4000	5315	1014704822.0000000	1.0147048	-9314968	1
43	4000	5340	938893779.0000000	0.9388938	-9845767	1
44	4000	5368	1037684953.0000000	1.0376850	-8681447	1
45	8000	10705	3868868549.0000000	3.8688685	-17844628	1
46	8000	10670	3815178685.0000000	3.8151787	-18798446	1
47	8000	10662	3828814127.0000000	3.8288141	-18741474	1
48	8000	10757	3960871182.0000000	3.9608712	-18178610	1
49	10000	13301	6007421356.0000000	6.0074214	-22079522	1
50	10000	13340	6050787218.0000000	6.0507872	-22338561	1
51	10000	13287	5818157101.0000000	5.8181571	-22581384	1
52	10000	13311	6023823770.0000000	6.0238238	-22606313	1
53	20000	26667	24672425323.0000000	24.6724253	-45962292	1
54	20000	26826	24688465574.0000000	24.6884656	-45195405	1
55	20000	26673	24408297589.0000000	24.4082976	-47854708	1
56	20000	26670	24411671587.0000000	24.4116716	-46418161	1
57	40000	53415	120862585064.0000000	120.8625851	-92003321	1
58	40000	53446	124279953391.0000000	124.2799534	-94397064	1
59	40000	53242	120114636102.0000000	120.1146361	-88771991	1
60	40000	53319	119680442760.0000000	119.6804428	-93017025	1
61	80000	106914	670084501621.0000000	670.0845016	-186834082	1
62	80000	106633	677343944593.0000000	677.3439446	-185997521	1
63	80000	106586	684804319571.0000000	684.8043196	-182065015	1
64	80000	106554	670932311217.0000000	670.9323112	-180793224	1
65	100000	133395	1132459768938.0000000	1132.4597689	-230698391	1
66	100000	133214	1129421708888.0000000	1129.4217089	-230168572	1
67	100000	133524	1147591993227.0000000	1147.5919932	-231393935	1
68	100000	133463	1127645020991.0000000	1127.6450210	-231011693	1
